pr_id,number,agent,author,state,merged,repo_id,repo_url,html_url,created_at,closed_at,merged_at,commit_count,unique_commit_authors_count,external_commit_author_count,review_count,unique_reviewers_count,human_review_count,bot_review_count,approved_review_count,changes_requested_review_count,commented_review_count,has_human_review,has_external_human_review,time_to_close_hours,time_to_merge_hours,merge_label,review_signal
2756921963,603,Devin,devin-ai-integration[bot],closed,False,679017521,https://api.github.com/repos/AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops/pull/603,2024-12-24T00:23:09Z,2025-01-09T11:13:02Z,,16,1,0,30,1,0,30,0,0,30,False,False,394.8313888888889,,Not merged,Solo revisión bot
2757103560,6402,Devin,devin-ai-integration[bot],closed,False,430749584,https://api.github.com/repos/OneKeyHQ/app-monorepo,https://github.com/OneKeyHQ/app-monorepo/pull/6402,2024-12-24T03:28:51Z,2024-12-25T01:50:06Z,,10,1,0,0,0,0,0,0,0,0,False,False,22.354166666666668,,Not merged,Sin reviews
2757124156,38335,Devin,devin-ai-integration[bot],closed,False,275993885,https://api.github.com/repos/appsmithorg/appsmith,https://github.com/appsmithorg/appsmith/pull/38335,2024-12-24T03:56:34Z,2025-01-07T16:43:35Z,,1,1,0,0,0,0,0,0,0,0,False,False,348.7836111111111,,Not merged,Sin reviews
2757125491,38336,Devin,devin-ai-integration[bot],closed,False,275993885,https://api.github.com/repos/appsmithorg/appsmith,https://github.com/appsmithorg/appsmith/pull/38336,2024-12-24T03:58:41Z,2025-01-07T16:43:33Z,,1,1,0,0,0,0,0,0,0,0,False,False,348.7477777777778,,Not merged,Sin reviews
2757179026,38339,Devin,devin-ai-integration[bot],closed,False,275993885,https://api.github.com/repos/appsmithorg/appsmith,https://github.com/appsmithorg/appsmith/pull/38339,2024-12-24T05:00:11Z,2025-01-07T16:43:32Z,,6,2,1,0,0,0,0,0,0,0,False,False,347.7225,,Not merged,Sin reviews
2757674020,294,Devin,devin-ai-integration[bot],closed,True,689765175,https://api.github.com/repos/different-ai/note-companion,https://github.com/different-ai/note-companion/pull/294,2024-12-24T11:56:28Z,2024-12-24T12:28:56Z,2024-12-24T12:28:56Z,6,2,1,0,0,0,0,0,0,0,False,False,0.5411111111111111,0.5411111111111111,Merged,Sin reviews
2757829316,296,Devin,devin-ai-integration[bot],closed,False,689765175,https://api.github.com/repos/different-ai/note-companion,https://github.com/different-ai/note-companion/pull/296,2024-12-24T13:49:16Z,2024-12-24T19:57:56Z,,1,1,0,0,0,0,0,0,0,0,False,False,6.144444444444445,,Not merged,Sin reviews
2758105942,614,Devin,devin-ai-integration[bot],closed,False,31620232,https://api.github.com/repos/nylas/nylas-nodejs,https://github.com/nylas/nylas-nodejs/pull/614,2024-12-24T16:24:00Z,2025-01-23T18:31:10Z,,30,1,0,0,0,0,0,0,0,0,False,False,722.1194444444444,,Not merged,Sin reviews
2758172742,297,Devin,devin-ai-integration[bot],closed,True,689765175,https://api.github.com/repos/different-ai/note-companion,https://github.com/different-ai/note-companion/pull/297,2024-12-24T17:57:41Z,2024-12-24T19:51:08Z,2024-12-24T19:51:08Z,2,1,0,0,0,0,0,0,0,0,False,False,1.8908333333333334,1.8908333333333334,Merged,Sin reviews
2758200405,3290,Devin,devin-ai-integration[bot],closed,False,678526156,https://api.github.com/repos/marimo-team/marimo,https://github.com/marimo-team/marimo/pull/3290,2024-12-24T18:44:06Z,2024-12-24T19:38:07Z,,10,2,1,0,0,0,0,0,0,0,False,False,0.9002777777777777,,Not merged,Sin reviews
2758215458,8,Devin,devin-ai-integration[bot],closed,True,883825890,https://api.github.com/repos/different-ai/zero-finance,https://github.com/different-ai/zero-finance/pull/8,2024-12-24T19:11:10Z,2024-12-24T19:59:32Z,2024-12-24T19:59:32Z,6,2,1,0,0,0,0,0,0,0,False,False,0.8061111111111111,0.8061111111111111,Merged,Sin reviews
2758379503,336,Devin,devin-ai-integration[bot],closed,False,776908852,https://api.github.com/repos/browserbase/stagehand,https://github.com/browserbase/stagehand/pull/336,2024-12-25T00:46:41Z,2024-12-25T00:51:47Z,,30,1,0,0,0,0,0,0,0,0,False,False,0.085,,Not merged,Sin reviews
